,title,company,location,pay,rating
733,Business Analyst,The Principal TAG,"Temporarily Remote in Mississauga, ON","$49,074 - $101,707 a year",
734,Business Intelligence Analyst,Bounteous,Canada,,
735,Pricing Analyst,Canadian Tire Corporation,"Toronto, ON",,3.6
736,computer systems analyst,Newlink.Ca Inc,"Markham, ON",$45 an hour,
737,Planning Information Analyst,Halifax Regional Municipality,"Halifax, NS",$33.08 an hour,4.2
738,Data Analyst,Swiss Re,"Toronto, ON",,4.0
739,Business analyst,GardaWorld,"Mississauga, ON",,2.7
740,newBusiness System Analyst,Duca,"Toronto, ON",,
741,Business Analyst,Myers-Holum,"Remote in Toronto, ON",,
742,"Senior Analyst, Data Management - IT",Johnson & Johnson,"Markham, ON",,4.2
743,"Fraud Analyst, Deposit Fraud",BMO Financial Group,"Toronto, ON",,3.8
744,newData Analyst,Desjardins,"Hybrid remote in Montréal, QC",,3.9
745,IT Business Analyst,Intact,"Remote in Montréal, QC",,3.8
746,Strategic Planning and Information Analyst #507,Victoria Cool Aid Society,"Victoria, BC",$30.24 - $32.69 an hour,3.1
747,iGaming Analyst,Casino Niagara,"Niagara Falls, ON",,4.0
748,database analyst,Unisystech Consulting inc.,"North York, ON","$80,000 - $90,000 a year",
749,"Business System Analyst – SQL, Data",AstraNorth,"Toronto, ON",,
750,database analyst,Unisystech Consulting inc.,"North York, ON","$80,000 - $90,000 a year",
751,"Business System Analyst – SQL, Data",AstraNorth,"Toronto, ON",,
752,QC Analyst 1 - Afternoon shift,Bimeda,Canada,$13 an hour,3.0
753,Market Intelligence Analyst,The Canadian Institute,"Toronto, ON","$50,000 a year",2.6
754,newBusiness Analyst,Waterloo Regional Police Service,"Cambridge, ON",,2.8
755,newSecurity Analyst,Groupe Dynamite Inc.,"Mont-royal, QC",,3.3
756,Junior Power Analyst,Dynasty Power Inc.,"Calgary, AB",,
757,newAnalyst - Trading Business Management (6 Months Contract),TD Bank,"Toronto, ON",,3.8
758,"newAnalyst, Digitization & Optimization Intern / Co-Op",TD Bank,"Remote in Toronto, ON",,3.8
759,Business Systems Analyst III (BluePrism / RPA),TD Bank,"Toronto, ON",,3.8
760,Business Analyst – Data Modelling,AstraNorth,"Temporarily Remote in Toronto, ON","$60,000 a year",
761,newRES O 24R - Senior Data Analyst,BC Public Service,"Victoria, BC",,3.4
762,"Data Operations Analyst - Bedford, NS (Fall 2022 Student)",Royal Bank of Canada,"Halifax, NS",,4.0
763,newData Analyst,Levio,"Montréal, QC",,4.1
764,"newData Analyst, Valuation & Advisory Services (Western Region)",Avison Young,"Vancouver, BC+2 locations",,3.6
765,Data Analyst,Methodhub Canada,"Mississauga, ON",,
766,IT Business Analyst,Dawn InfoTek Inc.,"Toronto, ON",$70 - $80 an hour,
767,Business Analyst,Red Nucleus,"Toronto, ON",,
768,Market Data Operation and Engineering Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
769,IT Asset Management Analyst,"Foresters Financial Services, Inc.","Hybrid remote in Toronto, ON",,3.4
770,Data Analyst,CryptoKitties,"Vancouver, BC",,
771,Payroll Analyst,VECIMA TECHNOLOGY INC,Remote in Canada,,
772,newFall 2022 Co-op: DevOps Analyst,Rogers Communications,"Brampton, ON",,3.7
773,Business and Policy Analyst,Simon Fraser University,"Burnaby, BC","$75,285 - $89,904 a year",4.2
774,"Media Experts - Data Analyst, Audience & Analytics",IPG Mediabrands,"Toronto, ON",,3.7
775,Digital Business Analyst,Shell,"Fort Saskatchewan, AB",,3.9
776,Senior Data Analyst,Taking Root,"Remote in Vancouver, BC",,
777,Valuation Analyst,Colliers International,"Toronto, ON+5 locations",,3.8
778,"newBusiness Analyst, Pulp",West Fraser,"Quesnel, BC",,3.3
779,Sales Operation Analyst,ERCO Worldwide,Ontario,"$60,000 - $70,000 a year",3.5
780,newBusiness Operations Coordinator/Analyst,Mariner Innovations,"St. John's, NL+4 locations",,4.0
781,Analyst,St. Joseph's Healthcare Hamilton,"Hamilton, ON",,3.6
782,Data Analyst/Engineer,PopReach,"Vancouver, BC",,
783,newTechnical Business Analyst,Dawn InfoTek Inc.,"Toronto, ON",$70 - $85 an hour,
784,newBusiness Systems Analyst II,Canon Canada,"Temporarily Remote in Brampton, ON",,3.5
785,Data Analyst,eSSENTIAL Accessibility,"Toronto, ON",,
786,"newAnalyst, Enterprise Risk Management",Bank of Canada,"Temporarily Remote in Ottawa, ON",,4.0
787,"Business Analyst, Analytics and Automation",Reliance Home Comfort,"Toronto, ON",,3.0
788,"Supply Chain Analyst, Parts Management (Cambridge)",Toyota Motor Manufacturing Canada,"Pickering, ON",,3.0
789,Junior Asset Management Consultant and Data Analyst,GM BluePlan Engineering,"Vaughan, ON",,3.3
790,newBusiness Analyst,The Workers' Compensation Board,"Hybrid remote in Edmonton, AB","$73,500 a year",
791,"Data Analyst, Valuation Solutions",FCT,"Hybrid remote in Oakville, ON",,3.1
792,"Analyst, Artificial Intelligence",Air Canada,"Dorval, QC",,3.8
793,Systems Performance Analyst,Canadian Solar,"Guelph, ON",,3.5
794,Business Systems Analyst,Luxoft,"Toronto, ON",,
795,"newAnalyst, Actuarial Solutions",CAAT Pension Plan,"Temporarily Remote in Toronto, ON",,4.0
796,BUSINESS ANALYST - 6 MONTH TEMPORARY ASSIGNMENT,Ministry of the Solicitor General,"Orillia, ON","$1,656 - $2,076 a week",3.0
797,"DATA SIMULATION ANALYST, AREA X.O (24-Mon Term)",Invest Ottawa/Bayview Yards,"Ottawa, ON",,
798,Operations Specialist/Business Analyst supporting Capital Ma...,BMO Financial Group,"Toronto, ON",,3.8
799,Business Analyst,SpringGage,"Toronto, ON",,
800,newAnalyst,Alberta Health Services,"Calgary, AB",,3.8
801,"Data Analyst, Sales and Support (Americas, Remote)",FreshBooks,"Remote in Toronto, ON",,4.0
802,Data Privacy Analyst - REMOTE - Canada,GreenSlate LLC,"Remote in Toronto, ON",,
803,information systems business analyst,Edgetch HVAC Services Ltd.,"Mississauga, ON",$42 an hour,
804,Technology Analyst (DiscoverIT Program),Synoptek,"Saint John, NB",,3.0
805,Business Intelligence Analyst,Canada Deposit Insurance Corporation,"Ottawa, ON",,
806,Technical Business Analyst,United Way British Columbia,"Burnaby, BC+4 locations",$40.38 an hour,
807,Data Analyst,Coastal Community Credit Union,"Nanaimo, BC",,4.3
808,newSr Business Info Mgmt Analyst,TD Bank,"Toronto, ON+1 location",,3.8
809,Business System Analyst,CAPCO,"Toronto, ON",,3.4
810,Data Visualization Analyst - Senior,Insurance Corporation of British Columbia,"Hybrid remote in North Vancouver, BC","$81,258 - $88,019 a year",3.4
811,newFull-time Salesforce Application Administrator/Business Anal...,Algonquin College,"Remote in Ottawa, ON",$38.76 - $44.93 an hour,4.3
812,Data Analyst (Power BI) - REMOTE,Software International,"Remote in Toronto, ON",,
813,Business Analyst,Resolute Technology Solutions Inc,"Remote in Toronto, ON+3 locations",,4.2
814,STATISTICAL ANALYST,Leger,Remote,,2.9
815,Logistics Analyst,Maple Lodge Farms,"Mississauga, ON",,3.0
816,Business Analyst (2022-0106),ICTC,"Ottawa, ON",,
817,Insights Analyst,Environics Analytics,"Toronto, ON",,2.3
818,Data Management Analyst,Coast Capital Savings,"Hybrid remote in Surrey, BC",,3.7
819,Business Analyst - Incident Data (remote),Software International,"Remote in Brampton, ON",$110 - $120 an hour,
820,Business Information Systems Analyst,Bourgault Industries,"St. Brieux, SK",,3.8
821,Business Analyst (Toronto),StackAdapt,Canada,,4.5
822,newData Analyst,TD Bank,"Toronto, ON",,3.8
823,newDATA ANALYST,Business Development Bank of Canada,"Temporarily Remote in Montréal, QC",,3.8
824,newTechnical Key Account Analyst,Bolloré Logistics Canada,"Mississauga, ON",,3.5
825,newDATA ANALYST,Business Development Bank of Canada,"Temporarily Remote in Montréal, QC",,3.8
826,newTechnical Key Account Analyst,Bolloré Logistics Canada,"Mississauga, ON",,3.5
827,"Analyst I, Identity and Access Management",Moneris Solutions,"Remote in Toronto, ON",,3.4
828,Business Systems Analyst,Delbridge Solutions Inc.,"Concord, ON",,4.0
829,information systems analyst - computer systems,This is the Deal Inc.,"Toronto, ON",$41.60 - $44.00 an hour,
830,"newSenior Business Analyst, Transaction Data Master",TD Bank,"Toronto, ON",,3.8
831,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
832,newBusiness Intelligence Developer,CAPREIT,"Toronto, ON",,3.2
833,Market Research Analyst,City of Regina,"Regina, SK",$31.69 - $39.73 an hour,
834,Business Analyst,GS1 Canada,"Toronto, ON",,2.8
835,newBusiness Analyst,Brookfield Renewable,"Gatineau, QC",,3.9
836,Business Intelligence Analyst,Luxoft,Remote,,
837,Sr. IT Ops Analyst (Data Backup & Protection),TD Bank,"Mississauga, ON",,3.8
838,Real Estate Market Analyst,Altus Group,"Halifax, NS",,2.7
839,Reporting and Data Analyst - Office of The Registrar,SAIT,"Calgary, AB","$75,000 - $85,000 a year",4.0
840,"newTechnical Analyst, Water Quality & Compliance",Regional Municipality of Peel,"Temporarily Remote in Brampton, ON",,4.2
841,Business Analyst,Alberta Motor Association,"Calgary, AB",,3.5
842,Research Project Manager and Data Analyst,Coaldale Veterinary Clinic,"Lethbridge County, AB",,
843,Lab Clinical Data Analyst,IQVIA,Remote,,3.8
844,"newBusiness Intelligence Partner, Regular Full Time, Ottawa",Home and Community Care Support Services Champlain,"Ottawa, ON",$40.85 an hour,3.8
845,"newBusiness System Analyst – AWS, DWH, SQL",AstraNorth,"Toronto, ON","$100,000 a year",
846,systems analyst,AdamSea Inc.,"Toronto, ON",$38.34 an hour,
847,Research Associate - Biostatistical Research Analyst,Lawson Health Research Institu,"Temporarily Remote in London, ON",,
848,"newAnalyst, Payroll & Data Services",Apotex,"North York, ON",,3.9
849,Business Analyst,Univeris Corp,"Hybrid remote in Toronto, ON",,
850,marketing analyst,Hire Hub Placement Agency,"Edmonton, AB",$48.08 an hour,
851,LMS Analyst,Aecon Group,"Toronto, ON",,4.0
852,newSenior BI Analyst,Shaw Communications,"Toronto, ON",,3.8
853,newBusiness Systems Analyst,ICBC,"North Vancouver, BC+1 location",,3.4
854,newBusiness Analyst (Change Management & Major Incident) (Tempo...,ISM Canada,"Regina, SK","$2,555 a week",3.1
855,Intermediate Data Analyst,AstraNorth,"Toronto, ON","$100,000 a year",
856,newData Industrialization Analyst,Thales,"Burlington, ON",,3.9
857,Data Analyst,CBRE,"Victoria, BC",,3.7
858,IT Business Analyst,AOT Technologies,"Victoria, BC",,
859,"Research Analyst I, Epidemiology",University Health Network,"Toronto, ON","$45,277 - $56,547 a year",4.1
860,business systems analyst,GLOBEWIN CONSULTING INC,"Remote in Toronto, ON",$45 an hour,
861,information systems business analyst,Ginqo Consulting Ltd,"Remote in Vancouver, BC+1 location","$80,000 - $90,000 a year",
862,"Fraud Analyst, Digital Banking",BMO Financial Group,"Toronto, ON",,3.8
863,information technology (IT) analyst,SCOOTER CITY,"Coquitlam, BC",$38.50 an hour,3.5
864,Senior Business Analyst,ASSURANCE,Remote,,
865,newQA Analyst - Python Automation Testing,Cognizant,"Toronto, ON",,3.9
866,Business Support Technical Analyst (CAD) - AMENDMENT,City of Calgary,"Calgary, AB",$38.14 - $50.98 an hour,4.0
867,Workday Data Conversion Analyst,KPMG,"Calgary, AB",,3.9
868,Data Analyst II,Coconut Software,Canada,,
869,"newStudent, Cloud Analyst (Fall 2022, 4-Months)",OMERS,"Toronto, ON",,3.4
870,Business Analyst,OGGN Inc.,"Ottawa, ON",,
871,Business Data Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,3.8
872,Business Systems Analyst III,TD Bank,"Mississauga, ON+1 location",,3.8
873,"Senior Business Analyst, BSS",Netcracker,"Remote in Toronto, ON+1 location",,3.4
874,computer systems analyst,Adept Global,"Pickering, ON",$41.60 an hour,
875,"newBusiness Analyst, Human Resources",Alberta Motor Association,"Edmonton, AB",,3.5
876,Product Business Analyst-Student Information System,Fujitsu,"Toronto, ON",,3.6
877,Portfolio Data Analyst,AstraNorth,"Toronto, ON","$120,000 a year",
878,IT Business Analyst (Contractor Position),AOT Technologies,"Victoria, BC",,
879,Data Analyst - Bilingual,CMEC,"Remote in Toronto, ON","$64,325 - $81,004 a year",
880,business systems analyst,KIDS VALLEY DAYCARE & OSC,"Leduc, AB",$47.62 an hour,
881,newBusiness Operations Analyst,Imperial Manufacturing Group,"Dieppe, NB",,3.1
882,Data & Reporting Analyst,Nude Solutions,"Calgary, AB",,
883,Data Loss Prevention Analyst - Data Protection,Aviva,"Markham, ON",,3.8
884,Billing Analyst - Logistics,Dynacare,"Brampton, ON",,3.5
885,Data Analyst,CGI Inc,"Toronto, ON",,3.6
886,newIT Business Analyst BHJOB13022_12170,Ignite Technical Resources.,"Burnaby, BC",,
887,Business Intelligence (BI) Analyst,Bayer,"Hybrid remote in Winnipeg, MB",,4.1
888,"Fraud Analyst, Digital Banking",BMO Financial Group,"Toronto, ON",,3.8
889,Business Systems Analyst - Global Engineering & Operations (...,Lululemon,"Vancouver, BC",,4.2
890,Business Analyst-Digital,Alterna Savings,"Toronto, ON",,3.1
891,Sustainability Analyst,JLL,"Toronto, ON",,3.7
892,Sr Business Insights Analyst,TD Bank,"Toronto, ON+1 location",,3.8
893,newMarket Analyst,Affinity Credit Union,Saskatchewan,,3.6
894,Innovation Analyst (up to 24 months),City of Kingston,"Kingston, ON",,3.1
895,newAnalyst,McGill University,"Montréal, QC",,4.3
896,"Business Analyst, RIS (Retail Information Systems) Help Desk",BMO Financial Group,"Toronto, ON",,3.8
897,Global Business Analyst - Retail,Unilever,"Kingston, ON",,4.2
898,"Content Research Analyst, SEO",Angi,"Remote in Toronto, ON+3 locations",,
899,"Analyst Intern, Risk Advisory - Fall 2022 - Multiple Locatio...",Deloitte,Canada,,4.0
900,"Content Research Analyst, SEO",Angi,"Remote in Toronto, ON+3 locations",,
901,"Analyst Intern, Risk Advisory - Fall 2022 - Multiple Locatio...",Deloitte,Canada,,4.0
902,Operations Analyst,Citco,"Halifax, NS",,3.2
903,IT Business Analyst,Manitoba Institute of Trades and Technology,"Winnipeg, MB","$69,292 - $93,749 a year",3.1
904,Data Analyst (Hybrid),Morgan Stanley,"Remote in Montréal, QC",,3.8
905,HR Systems Analyst,opentext,"Remote in Waterloo, ON",,3.5
906,BI Developer,Trading Central,"Ottawa, ON",,3.0
907,Data Analyst,Mobility Quotient Solutions,"Calgary, AB",,
908,Business Analyst,Carlton One Engagement,"Markham, ON",,
909,Senior Data Analyst,Mueller Water Products,"Toronto, ON",,2.9
910,"Business Analyst, Human Resources (Hybrid Work)",Irving Business Services,"Remote in Saint John, NB",,2.7
911,Senior Data Analyst (IAM) (GCS),Royal Bank of Canada,"Toronto, ON",,4.0
912,Developer Analyst,Rogers Communications,"Brampton, ON",,3.7
913,Business Analyst,Sanofi US,"Toronto, ON",,4.1
914,Senior Data Support Analyst - Market Risk,Bank of America,"Toronto, ON",,3.8
915,Data Visualization Analyst - Senior,Insurance Corporation of British Columbia,"Hybrid remote in North Vancouver, BC","$81,258 - $88,019 a year",3.4
916,Customer Support Analyst - Accounting Software Support,Jonas Construction Software,"Hybrid remote in Markham, ON",,3.2
917,Real Estate Advisory Analyst (Remote),Altus Group,"Remote in Toronto, ON",,2.7
918,newSr. Data Warehouse and BI Specialist,WELL Health Technologies Corp,"Toronto, ON",,
919,newPRICING ANALYST,Atlantic Packaging Products,"Scarborough, ON",,3.3
920,"Associate BI Business Analyst, Business Technology- Canada,...","Guidewire Software, Inc.","Remote in Mississauga, ON",,3.7
921,HR Systems Analyst,Open Text Corporation,"Remote in Waterloo, ON",,3.5
922,"Data Analyst, Finance",Dapper Labs,Remote,,
923,Agile Business Analyst (On-site),Mastronardi Produce Limited,"Kingsville, ON",,2.8
924,Process Automation/Data Analyst,Sanofi US,"Toronto, ON",,4.1
925,Analyst - Business Intelligence,Peel Regional Police,"Brampton, ON",$35.18 - $59.28 an hour,4.4
926,Technical Support Analyst,BlackBerry,"Waterloo, ON",,4.0
927,Part-Time - Data Quality Analyst (Fraud Prevention),owl.co,Remote,,
928,Quality Data Analyst,Vancouver Shipyards,"North Vancouver, BC",,3.4
929,Business Analyst,Equitable Bank,"Toronto, ON",,4.1
930,Part-Time - Data Quality Analyst (Fraud Prevention),owl.co,Remote,,
931,Quality Data Analyst,Vancouver Shipyards,"North Vancouver, BC",,3.4
932,Business Analyst,Equitable Bank,"Toronto, ON",,4.1
933,Data Analyst,Government of New Brunswick,"Fredericton, NB","$52,936 - $74,048 a year",4.6
934,Sr. Data Analyst,Fusion Analytics,Canada,,
935,newBusiness Strategy Analyst,Camfil Power Systems,"Laval, QC",,
936,"Analyst, People Analytics",West Park Healthcare Centre,"Toronto, ON",,3.6
937,data warehouse analyst,1st Call Industrial Ltd.,"Mississauga, ON",$40.75 an hour,
938,Business Process Analyst,StereoLOGIC,"Toronto, ON","$60,000 - $85,000 a year",
939,"Analyst – Reporting and Analytics (Bilingual, French and Eng...",ReedGroup,"Remote in Quebec City, QC",,
940,"newAnalyst, Business Intelligence",LifeWorks,"Remote in Montréal, QC",,3.0
941,"Senior Service Delivery Analyst, Operational Reporting",Orion Health,"Remote in Greater Toronto Area, ON",,3.2
942,Forest Analyst,Silvacom,"Edmonton, AB",,
943,newBusiness & Customer Insights Analyst,Loblaw Companies Limited,"Brampton, ON",,3.5
944,Digital Marketing Business Insights Analyst,Vigorate,"Toronto, ON","$70,000 - $85,000 a year",
945,"newBusiness Analyst II, Data Integration",University of British Columbia,"Vancouver, BC","$87,340 - $136,468 a year",4.1
946,"newSenior Analyst, Clinical Analytics",Ontario Health,"Toronto, ON",,4.3
947,"newBusiness Analyst, Merchandising Operations & Strategy – MET",The Home Depot Canada,"Toronto, ON",,3.7
948,newIT Business Systems Analyst,SNC-Lavalin,"Toronto, ON",,4.0
949,"Analyst, Off-Shelf",Staples Canada,"Richmond Hill, ON",,3.6
950,HR Reporting Analyst,goeasy,"Mississauga, ON",,3.3
951,"newAnalyst, Technology",Lowe's Canada,"Boucherville, QC",,3.5
952,newInventory Analyst,Mobile Klinik Professional Smartphone Repair,"Mississauga, ON","$50,000 a year",3.2
953,Business Intelligence Analyst,Vancouver Division of Family Practice,"Vancouver, BC",,
954,newInventory Analyst & Coordinator,BOCCI,"Vancouver, BC",,
955,Bilingual Technical Business Analyst,Medavie Blue Cross,Remote in New Brunswick,,3.4
956,Senior Business Management Analyst,TD Bank,"Toronto, ON",,3.8
957,newAnalyste d’affaires / Business Analyst - CFF,Fastfrate,"Montréal, QC",,2.9
958,Planning Analyst,AutoCanada Inc.,"Edmonton, AB",,3.2
959,BI Developer - Barrie Ont (Hybrid),excelHR,"Barrie, ON","$90,000 - $100,000 a year",3.8
960,"Analyst programmer, Bell Media",BELL MEDIA INC.,"Montréal, QC",,3.6
961,PM BI expert,TES - The Employment Solution,"Brampton, ON",,3.6
962,Marketing Analyst Coordinator,WestCreek Developments Ltd.,"Calgary, AB",,
963,"newBusiness Analyst, Governance & Compliance",Teck Resources Limited,"Vancouver, BC",,3.9
964,Business Intelligence Developer,Teck Resources Limited,"Vancouver, BC",,3.9
965,newBusiness Intelligence Senior Analyst,Lowe's Canada,"Boucherville, QC",,3.5
966,Analyste en coût de revient - Cost Accounting Analyst,CMP Advanced Mechanical Solutions,"Châteauguay, QC",,3.2
967,Bilingual Analyst,Mier Recruitment,"St. Laurent, ON","$57,000 - $63,000 a year",
968,Business Analyst (Data and BI),Procom,"Calgary, AB",,3.6
969,Pricing Analyst - 3 + Months,The Mason Group,"Toronto, ON",,4.2
970,"Senior Developer, Business Intelligence",Teck Resources Limited,"Vancouver, BC",,3.9
971,IT Business Analyst,Serti Informatique,"Greater Montreal Area, QC",,4.1
